frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1657","Dec  8, 2024 14:51:14.186636257 IST","172.18.0.3","172.18.0.2","19780","61216","54","19780 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1658","Dec  8, 2024 14:51:14.186649902 IST","172.18.0.2","172.18.0.3","61216","5414","58","61216 → 5414 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1659","Dec  8, 2024 14:51:14.186653815 IST","172.18.0.3","172.18.0.2","5414","61216","54","5414 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1660","Dec  8, 2024 14:51:14.186665992 IST","172.18.0.2","172.18.0.3","61216","1218","58","61216 → 1218 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1661","Dec  8, 2024 14:51:14.186669714 IST","172.18.0.3","172.18.0.2","1218","61216","54","1218 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1662","Dec  8, 2024 14:51:14.186682358 IST","172.18.0.2","172.18.0.3","61216","1083","58","61216 → 1083 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1663","Dec  8, 2024 14:51:14.186686134 IST","172.18.0.3","172.18.0.2","1083","61216","54","1083 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1664","Dec  8, 2024 14:51:14.186698272 IST","172.18.0.2","172.18.0.3","61216","6699","58","61216 → 6699 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1665","Dec  8, 2024 14:51:14.186702498 IST","172.18.0.3","172.18.0.2","6699","61216","54","6699 → 61216 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1666","Dec  8, 2024 14:51:14.186715041 IST","172.18.0.2","172.18.0.3","61216","2100","58","61216 → 2100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
