frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1345","Dec  8, 2024 14:50:18.907409536 IST","172.18.0.3","172.18.0.2","30718","52975","54","30718 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1346","Dec  8, 2024 14:50:18.907420658 IST","172.18.0.2","172.18.0.3","52975","9002","58","52975 → 9002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1347","Dec  8, 2024 14:50:18.907424061 IST","172.18.0.3","172.18.0.2","9002","52975","54","9002 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1348","Dec  8, 2024 14:50:18.907435043 IST","172.18.0.2","172.18.0.3","52975","3905","58","52975 → 3905 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1349","Dec  8, 2024 14:50:18.907438468 IST","172.18.0.3","172.18.0.2","3905","52975","54","3905 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1350","Dec  8, 2024 14:50:18.907449845 IST","172.18.0.2","172.18.0.3","52975","3052","58","52975 → 3052 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1351","Dec  8, 2024 14:50:18.907453125 IST","172.18.0.3","172.18.0.2","3052","52975","54","3052 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1352","Dec  8, 2024 14:50:18.907463833 IST","172.18.0.2","172.18.0.3","52975","16001","58","52975 → 16001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1353","Dec  8, 2024 14:50:18.907467322 IST","172.18.0.3","172.18.0.2","16001","52975","54","16001 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1354","Dec  8, 2024 14:50:18.907478400 IST","172.18.0.2","172.18.0.3","52975","1461","58","52975 → 1461 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1355","Dec  8, 2024 14:50:18.907481797 IST","172.18.0.3","172.18.0.2","1461","52975","54","1461 → 52975 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1356","Dec  8, 2024 14:50:18.907492569 IST","172.18.0.2","172.18.0.3","52975","548","58","52975 → 548 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
