frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1918","Dec 10, 2024 20:16:59.550686486 IST","172.18.0.2","172.18.0.3","52006","50800","58","52006 → 50800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1919","Dec 10, 2024 20:16:59.550689941 IST","172.18.0.3","172.18.0.2","50800","52006","54","50800 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1920","Dec 10, 2024 20:16:59.550703065 IST","172.18.0.2","172.18.0.3","52006","683","58","52006 → 683 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1921","Dec 10, 2024 20:16:59.550706737 IST","172.18.0.3","172.18.0.2","683","52006","54","683 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1922","Dec 10, 2024 20:16:59.550719334 IST","172.18.0.2","172.18.0.3","52006","1164","58","52006 → 1164 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1923","Dec 10, 2024 20:16:59.550723039 IST","172.18.0.3","172.18.0.2","1164","52006","54","1164 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1924","Dec 10, 2024 20:16:59.550734811 IST","172.18.0.2","172.18.0.3","52006","1718","58","52006 → 1718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1925","Dec 10, 2024 20:16:59.550738477 IST","172.18.0.3","172.18.0.2","1718","52006","54","1718 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1926","Dec 10, 2024 20:16:59.550750193 IST","172.18.0.2","172.18.0.3","52006","1322","58","52006 → 1322 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1927","Dec 10, 2024 20:16:59.550753739 IST","172.18.0.3","172.18.0.2","1322","52006","54","1322 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1928","Dec 10, 2024 20:16:59.550765777 IST","172.18.0.2","172.18.0.3","52006","10628","58","52006 → 10628 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1929","Dec 10, 2024 20:16:59.550769381 IST","172.18.0.3","172.18.0.2","10628","52006","54","10628 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1930","Dec 10, 2024 20:16:59.550780930 IST","172.18.0.2","172.18.0.3","52006","3","58","52006 → 3 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1931","Dec 10, 2024 20:16:59.550784600 IST","172.18.0.3","172.18.0.2","3","52006","54","3 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1932","Dec 10, 2024 20:16:59.550796692 IST","172.18.0.2","172.18.0.3","52006","1583","58","52006 → 1583 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1933","Dec 10, 2024 20:16:59.550800384 IST","172.18.0.3","172.18.0.2","1583","52006","54","1583 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
