frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"2755","Dec  8, 2024 15:16:08.663489404 IST","172.18.0.2","172.18.0.3",,,"82","V104316 proc-0 Call"
"2756","Dec  8, 2024 15:16:08.663511329 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2757","Dec  8, 2024 15:16:08.663521596 IST","172.18.0.2","172.18.0.3",,,"56",""
"2758","Dec  8, 2024 15:16:08.663525816 IST","172.18.0.2","172.18.0.3",,,"234","Identity Protection (Main Mode)"
"2759","Dec  8, 2024 15:16:08.663528725 IST","172.18.0.2","172.18.0.3",,,"246","Identity Protection (Main Mode)"
"2760","Dec  8, 2024 15:16:09.464366809 IST","172.18.0.2","172.18.0.3",,,"114","Unknown (0x0500)"
"2761","Dec  8, 2024 15:16:09.464396581 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"142","Destination unreachable (Port unreachable)"
"2762","Dec  8, 2024 15:16:10.265308192 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2763","Dec  8, 2024 15:16:10.265335281 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2764","Dec  8, 2024 15:16:11.066226153 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2765","Dec  8, 2024 15:16:11.066254579 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2766","Dec  8, 2024 15:16:11.867189460 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2767","Dec  8, 2024 15:16:12.082090913 IST",,,,,"42","Who has 172.18.0.2? Tell 172.18.0.3"
"2768","Dec  8, 2024 15:16:12.082148540 IST",,,,,"42","172.18.0.2 is at 02:42:ac:12:00:02"
"2769","Dec  8, 2024 15:16:12.668190764 IST","172.18.0.2","172.18.0.3",,,"82","57662 → 49215 Len=40"
"2770","Dec  8, 2024 15:16:12.668223284 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2771","Dec  8, 2024 15:16:13.469083527 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 16548 Len=0"
"2772","Dec  8, 2024 15:16:13.469113947 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2773","Dec  8, 2024 15:16:14.270066577 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 513 Len=0"
"2774","Dec  8, 2024 15:16:14.270102824 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2775","Dec  8, 2024 15:16:15.070930211 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 28493 Len=0"
"2776","Dec  8, 2024 15:16:15.070959060 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2777","Dec  8, 2024 15:16:15.871856079 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 19482 Len=0"
"2778","Dec  8, 2024 15:16:16.672782586 IST","172.18.0.2","172.18.0.3",,,"82","57821 → 49167 Len=40"
"2779","Dec  8, 2024 15:16:16.672871730 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2780","Dec  8, 2024 15:16:16.882127048 IST",,,,,"42","Who has 172.18.0.3? Tell 172.18.0.2"
"2781","Dec  8, 2024 15:16:16.882138524 IST",,,,,"42","172.18.0.3 is at 02:42:ac:12:00:03"
"2782","Dec  8, 2024 15:16:17.473725444 IST","172.18.0.2","172.18.0.3",,,"42","57662 → 19482 Len=0"
"2783","Dec  8, 2024 15:16:17.473819237 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2784","Dec  8, 2024 15:16:18.274605240 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 20003 Len=0"
"2785","Dec  8, 2024 15:16:18.274637721 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2786","Dec  8, 2024 15:16:19.075583041 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 16918 Len=0"
"2787","Dec  8, 2024 15:16:19.075618247 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2788","Dec  8, 2024 15:16:19.876604825 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2789","Dec  8, 2024 15:16:19.876643926 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2790","Dec  8, 2024 15:16:20.678680580 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2791","Dec  8, 2024 15:16:21.479710880 IST","172.18.0.2","172.18.0.3",,,"82","57662 → 43824 Len=40"
"2792","Dec  8, 2024 15:16:21.479735406 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2793","Dec  8, 2024 15:16:22.280581243 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 20449 Len=0"
"2794","Dec  8, 2024 15:16:22.280601658 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2795","Dec  8, 2024 15:16:23.081523418 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 800 Len=0"
"2796","Dec  8, 2024 15:16:23.081559128 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"70","Destination unreachable (Port unreachable)"
"2797","Dec  8, 2024 15:16:23.882468988 IST","172.18.0.2","172.18.0.3",,,"82","Unknown (0x3eec)"
"2798","Dec  8, 2024 15:16:23.882500237 IST","172.18.0.3,172.18.0.2","172.18.0.2,172.18.0.3",,,"110","Destination unreachable (Port unreachable)"
"2799","Dec  8, 2024 15:16:24.683386081 IST","172.18.0.2","172.18.0.3",,,"42","57660 → 18821 Len=0"
