frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1914","Dec 16, 2024 14:32:36.953380073 IST","172.18.0.2","172.18.0.3","46819","2968","54","46819 → 2968 [<None>] Seq=1 Win=1024 Len=0"
"1915","Dec 16, 2024 14:32:36.953381713 IST","172.18.0.3","172.18.0.2","2968","46819","54","2968 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1916","Dec 16, 2024 14:32:36.953385678 IST","172.18.0.2","172.18.0.3","46819","3077","54","46819 → 3077 [<None>] Seq=1 Win=1024 Len=0"
"1917","Dec 16, 2024 14:32:36.953387323 IST","172.18.0.3","172.18.0.2","3077","46819","54","3077 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1918","Dec 16, 2024 14:32:36.953391634 IST","172.18.0.2","172.18.0.3","46819","5051","54","46819 → 5051 [<None>] Seq=1 Win=1024 Len=0"
"1919","Dec 16, 2024 14:32:36.953393106 IST","172.18.0.3","172.18.0.2","5051","46819","54","5051 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1920","Dec 16, 2024 14:32:36.953397145 IST","172.18.0.2","172.18.0.3","46819","541","54","46819 → 541 [<None>] Seq=1 Win=1024 Len=0"
"1921","Dec 16, 2024 14:32:36.953398671 IST","172.18.0.3","172.18.0.2","541","46819","54","541 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1922","Dec 16, 2024 14:32:36.953402492 IST","172.18.0.2","172.18.0.3","46819","8652","54","46819 → 8652 [<None>] Seq=1 Win=1024 Len=0"
"1923","Dec 16, 2024 14:32:36.953404133 IST","172.18.0.3","172.18.0.2","8652","46819","54","8652 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1924","Dec 16, 2024 14:32:36.953408326 IST","172.18.0.2","172.18.0.3","46819","7000","54","46819 → 7000 [<None>] Seq=1 Win=1024 Len=0"
"1925","Dec 16, 2024 14:32:36.953409870 IST","172.18.0.3","172.18.0.2","7000","46819","54","7000 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1926","Dec 16, 2024 14:32:36.953414046 IST","172.18.0.2","172.18.0.3","46819","7106","54","46819 → 7106 [<None>] Seq=1 Win=1024 Len=0"
"1927","Dec 16, 2024 14:32:36.953415466 IST","172.18.0.3","172.18.0.2","7106","46819","54","7106 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1928","Dec 16, 2024 14:32:36.953419916 IST","172.18.0.2","172.18.0.3","46819","8193","54","46819 → 8193 [<None>] Seq=1 Win=1024 Len=0"
"1929","Dec 16, 2024 14:32:36.953421313 IST","172.18.0.3","172.18.0.2","8193","46819","54","8193 → 46819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1930","Dec 16, 2024 14:32:36.953425499 IST","172.18.0.2","172.18.0.3","46819","1309","54","46819 → 1309 [<None>] Seq=1 Win=1024 Len=0"
