frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1380","Dec  8, 2024 14:59:06.029044993 IST","172.18.0.2","172.18.0.3","34067","3517","58","34067 → 3517 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1381","Dec  8, 2024 14:59:06.029048708 IST","172.18.0.3","172.18.0.2","3517","34067","54","3517 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1382","Dec  8, 2024 14:59:06.029060495 IST","172.18.0.2","172.18.0.3","34067","3814","58","34067 → 3814 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1383","Dec  8, 2024 14:59:06.029064043 IST","172.18.0.3","172.18.0.2","3814","34067","54","3814 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1384","Dec  8, 2024 14:59:06.029075747 IST","172.18.0.2","172.18.0.3","34067","6547","58","34067 → 6547 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1385","Dec  8, 2024 14:59:06.029079383 IST","172.18.0.3","172.18.0.2","6547","34067","54","6547 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1386","Dec  8, 2024 14:59:06.029091536 IST","172.18.0.2","172.18.0.3","34067","5432","58","34067 → 5432 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1387","Dec  8, 2024 14:59:06.029094931 IST","172.18.0.3","172.18.0.2","5432","34067","54","5432 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1388","Dec  8, 2024 14:59:06.029106859 IST","172.18.0.2","172.18.0.3","34067","668","58","34067 → 668 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1389","Dec  8, 2024 14:59:06.029110685 IST","172.18.0.3","172.18.0.2","668","34067","54","668 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1390","Dec  8, 2024 14:59:06.029122098 IST","172.18.0.2","172.18.0.3","34067","545","58","34067 → 545 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1391","Dec  8, 2024 14:59:06.029125724 IST","172.18.0.3","172.18.0.2","545","34067","54","545 → 34067 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1392","Dec  8, 2024 14:59:06.029137300 IST","172.18.0.2","172.18.0.3","34067","3260","58","34067 → 3260 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
