frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1896","Dec 16, 2024 14:24:03.003177659 IST","172.18.0.2","172.18.0.3","39799","9878","58","39799 → 9878 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1897","Dec 16, 2024 14:24:03.003180837 IST","172.18.0.3","172.18.0.2","9878","39799","54","9878 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1898","Dec 16, 2024 14:24:03.003191710 IST","172.18.0.2","172.18.0.3","39799","3323","58","39799 → 3323 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1899","Dec 16, 2024 14:24:03.003195159 IST","172.18.0.3","172.18.0.2","3323","39799","54","3323 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1900","Dec 16, 2024 14:24:03.003206254 IST","172.18.0.2","172.18.0.3","39799","5222","58","39799 → 5222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1901","Dec 16, 2024 14:24:03.003209571 IST","172.18.0.3","172.18.0.2","5222","39799","54","5222 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1902","Dec 16, 2024 14:24:03.003220696 IST","172.18.0.2","172.18.0.3","39799","765","58","39799 → 765 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1903","Dec 16, 2024 14:24:03.003224088 IST","172.18.0.3","172.18.0.2","765","39799","54","765 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1904","Dec 16, 2024 14:24:03.003235431 IST","172.18.0.2","172.18.0.3","39799","84","58","39799 → 84 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1905","Dec 16, 2024 14:24:03.003238897 IST","172.18.0.3","172.18.0.2","84","39799","54","84 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1906","Dec 16, 2024 14:24:03.003249841 IST","172.18.0.2","172.18.0.3","39799","2604","58","39799 → 2604 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1907","Dec 16, 2024 14:24:03.003253248 IST","172.18.0.3","172.18.0.2","2604","39799","54","2604 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1908","Dec 16, 2024 14:24:03.003264952 IST","172.18.0.2","172.18.0.3","39799","8008","58","39799 → 8008 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1909","Dec 16, 2024 14:24:03.003268234 IST","172.18.0.3","172.18.0.2","8008","39799","54","8008 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1910","Dec 16, 2024 14:24:03.003279326 IST","172.18.0.2","172.18.0.3","39799","9877","58","39799 → 9877 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
